id,timestamp,sourceIp,destinationIp,destinationPort,protocol,flowDuration,totalFwdPackets,totalBwdPackets,flowBytesPerSecond,flowPacketsPerSecond,packetLengthMean,fwdPacketLengthMean,synFlagCount,ackFlagCount,finFlagCount,rstFlagCount
AL-0217,14/02/2018 02:15:07,unknown-source,unknown-destination,43200,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0218,14/02/2018 12:07:51,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0219,14/02/2018 02:12:32,unknown-source,unknown-destination,37814,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0220,14/02/2018 02:16:30,unknown-source,unknown-destination,46090,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0221,14/02/2018 09:32:58,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0222,14/02/2018 09:19:10,unknown-source,unknown-destination,22,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0223,14/02/2018 11:08:43,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0224,14/02/2018 09:07:37,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0225,14/02/2018 02:13:04,unknown-source,unknown-destination,38898,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0226,14/02/2018 01:23:53,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0227,14/02/2018 02:13:10,unknown-source,unknown-destination,39132,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0228,14/02/2018 02:02:29,unknown-source,unknown-destination,45178,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0229,14/02/2018 08:47:17,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0230,14/02/2018 02:08:25,unknown-source,unknown-destination,57482,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0231,14/02/2018 02:15:27,unknown-source,unknown-destination,43904,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0232,14/02/2018 02:11:36,unknown-source,unknown-destination,35854,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0233,14/02/2018 01:12:37,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0234,14/02/2018 09:24:31,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0235,14/02/2018 02:11:35,unknown-source,unknown-destination,35848,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0236,14/02/2018 09:05:16,unknown-source,unknown-destination,22,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0237,14/02/2018 09:34:46,unknown-source,unknown-destination,9984,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0238,14/02/2018 02:02:26,unknown-source,unknown-destination,45058,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0239,14/02/2018 08:47:21,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0240,14/02/2018 08:58:20,unknown-source,unknown-destination,67,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0241,14/02/2018 02:07:13,unknown-source,unknown-destination,54988,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0242,14/02/2018 12:58:32,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0243,14/02/2018 02:17:32,unknown-source,unknown-destination,48226,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0244,14/02/2018 02:02:29,unknown-source,unknown-destination,45158,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0245,14/02/2018 02:02:55,unknown-source,unknown-destination,46090,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0246,14/02/2018 11:59:24,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0247,14/02/2018 08:47:29,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0248,14/02/2018 12:47:16,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0249,14/02/2018 02:14:45,unknown-source,unknown-destination,42418,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0250,14/02/2018 02:16:50,unknown-source,unknown-destination,46784,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0251,14/02/2018 08:33:50,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0252,14/02/2018 09:13:15,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0253,14/02/2018 12:21:01,unknown-source,unknown-destination,9984,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0254,14/02/2018 12:02:13,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0255,14/02/2018 12:41:38,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0256,14/02/2018 11:00:16,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0257,14/02/2018 10:51:49,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0258,14/02/2018 10:26:28,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0259,14/02/2018 02:11:31,unknown-source,unknown-destination,35674,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0260,14/02/2018 11:42:30,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0261,14/02/2018 02:18:15,unknown-source,unknown-destination,49726,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0262,14/02/2018 08:47:20,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0263,14/02/2018 01:30:04,unknown-source,unknown-destination,9984,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0264,14/02/2018 09:25:06,unknown-source,unknown-destination,67,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0265,14/02/2018 11:05:54,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0266,14/02/2018 10:57:27,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0267,14/02/2018 10:27:34,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0268,14/02/2018 09:08:51,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0269,14/02/2018 10:54:27,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0270,14/02/2018 10:43:51,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0271,14/02/2018 08:57:16,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0272,14/02/2018 03:18:27,unknown-source,unknown-destination,33574,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0273,14/02/2018 01:12:38,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0274,14/02/2018 11:22:24,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0275,14/02/2018 09:51:31,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0276,14/02/2018 10:08:37,unknown-source,unknown-destination,445,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0277,14/02/2018 09:11:06,unknown-source,unknown-destination,52653,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0278,14/02/2018 02:08:02,unknown-source,unknown-destination,56696,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0279,14/02/2018 01:21:31,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0280,14/02/2018 12:44:42,unknown-source,unknown-destination,445,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0281,14/02/2018 10:50:24,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0282,14/02/2018 10:17:54,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0283,14/02/2018 09:19:55,unknown-source,unknown-destination,445,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0284,14/02/2018 10:27:40,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0285,14/02/2018 01:18:17,unknown-source,unknown-destination,443,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0286,14/02/2018 09:26:05,unknown-source,unknown-destination,445,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0287,14/02/2018 09:06:33,unknown-source,unknown-destination,53,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0288,14/02/2018 11:29:10,unknown-source,unknown-destination,3389,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0289,14/02/2018 01:32:05,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0290,14/02/2018 08:42:46,unknown-source,unknown-destination,49614,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0291,14/02/2018 09:15:09,unknown-source,unknown-destination,3389,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0292,14/02/2018 09:41:28,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0293,14/02/2018 10:24:28,unknown-source,unknown-destination,3389,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0294,14/02/2018 10:29:42,unknown-source,unknown-destination,50872,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0295,14/02/2018 09:34:30,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0296,14/02/2018 11:34:33,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0297,14/02/2018 12:13:31,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0298,14/02/2018 08:44:42,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0299,14/02/2018 10:58:38,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0300,14/02/2018 10:27:33,unknown-source,unknown-destination,53,UDP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0301,14/02/2018 09:24:28,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0302,14/02/2018 12:02:32,unknown-source,unknown-destination,51547,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0303,14/02/2018 11:50:09,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0304,14/02/2018 11:23:21,unknown-source,unknown-destination,3389,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0305,14/02/2018 01:35:58,unknown-source,unknown-destination,3389,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0306,14/02/2018 01:05:06,unknown-source,unknown-destination,53,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0307,14/02/2018 09:13:35,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0308,14/02/2018 01:32:05,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0309,14/02/2018 11:45:21,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0310,14/02/2018 09:51:31,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0311,14/02/2018 12:31:45,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0312,14/02/2018 02:48:13,unknown-source,unknown-destination,55558,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0313,14/02/2018 11:48:16,unknown-source,unknown-destination,53,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0314,14/02/2018 09:01:01,unknown-source,unknown-destination,445,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0315,14/02/2018 10:27:39,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0316,14/02/2018 01:04:46,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0317,14/02/2018 12:19:36,unknown-source,unknown-destination,445,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0318,14/02/2018 09:11:50,unknown-source,unknown-destination,445,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0319,14/02/2018 10:15:59,unknown-source,unknown-destination,445,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0320,14/02/2018 01:18:17,unknown-source,unknown-destination,53,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0321,14/02/2018 10:27:40,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0322,14/02/2018 08:53:46,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0323,14/02/2018 11:30:29,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0324,14/02/2018 08:39:15,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0325,14/02/2018 09:51:34,unknown-source,unknown-destination,443,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0326,14/02/2018 01:04:47,unknown-source,unknown-destination,443,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0327,14/02/2018 12:36:35,unknown-source,unknown-destination,3389,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0328,14/02/2018 01:04:45,unknown-source,unknown-destination,53,UDP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0329,14/02/2018 10:13:58,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0330,14/02/2018 09:15:33,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0331,14/02/2018 08:56:27,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0332,14/02/2018 10:30:22,unknown-source,unknown-destination,50652,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0333,14/02/2018 10:13:56,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0334,14/02/2018 08:43:39,unknown-source,unknown-destination,63067,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0335,14/02/2018 12:30:58,unknown-source,unknown-destination,3389,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0336,14/02/2018 11:14:29,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0337,14/02/2018 09:51:35,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0338,14/02/2018 02:28:32,unknown-source,unknown-destination,445,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0339,14/02/2018 01:01:33,unknown-source,unknown-destination,3389,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0340,14/02/2018 10:16:34,unknown-source,unknown-destination,3389,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0341,14/02/2018 10:02:15,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0342,14/02/2018 02:23:32,unknown-source,unknown-destination,60700,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0343,14/02/2018 12:34:50,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0344,14/02/2018 12:36:19,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0345,14/02/2018 11:28:53,unknown-source,unknown-destination,20759,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0346,14/02/2018 12:47:47,unknown-source,unknown-destination,3389,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0347,14/02/2018 11:59:24,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0348,14/02/2018 10:00:33,unknown-source,unknown-destination,53,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0349,14/02/2018 01:21:45,unknown-source,unknown-destination,3389,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0350,14/02/2018 08:37:42,unknown-source,unknown-destination,445,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0351,14/02/2018 09:09:08,unknown-source,unknown-destination,49828,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0352,14/02/2018 09:24:28,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0353,14/02/2018 11:48:18,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0354,14/02/2018 08:39:29,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0355,14/02/2018 08:59:55,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0356,14/02/2018 10:03:19,unknown-source,unknown-destination,50445,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0357,14/02/2018 01:32:23,unknown-source,unknown-destination,53,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0358,14/02/2018 09:19:43,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0359,14/02/2018 12:09:55,unknown-source,unknown-destination,4028,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0360,14/02/2018 12:35:45,unknown-source,unknown-destination,51807,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0361,14/02/2018 11:21:19,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0362,14/02/2018 11:01:13,unknown-source,unknown-destination,53,UDP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0363,14/02/2018 09:16:20,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0364,14/02/2018 09:33:28,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0365,14/02/2018 10:27:43,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0366,14/02/2018 12:22:23,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0367,14/02/2018 11:13:26,unknown-source,unknown-destination,3389,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0368,14/02/2018 09:54:19,unknown-source,unknown-destination,443,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0369,14/02/2018 09:51:31,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0370,14/02/2018 08:30:31,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0371,14/02/2018 12:34:50,unknown-source,unknown-destination,50956,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0372,14/02/2018 02:50:32,unknown-source,unknown-destination,60346,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0373,14/02/2018 09:16:11,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0374,14/02/2018 01:47:47,unknown-source,unknown-destination,23,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0375,14/02/2018 02:56:53,unknown-source,unknown-destination,45294,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0376,14/02/2018 10:27:48,unknown-source,unknown-destination,50820,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0377,14/02/2018 01:04:49,unknown-source,unknown-destination,443,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0378,14/02/2018 10:47:45,unknown-source,unknown-destination,53,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0379,14/02/2018 09:19:45,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0380,14/02/2018 10:01:20,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0381,14/02/2018 03:27:18,unknown-source,unknown-destination,51952,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0382,14/02/2018 01:01:59,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0383,14/02/2018 01:18:16,unknown-source,unknown-destination,51286,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0384,14/02/2018 03:26:48,unknown-source,unknown-destination,8866,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0385,14/02/2018 01:04:44,unknown-source,unknown-destination,53,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0386,14/02/2018 12:27:23,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0387,14/02/2018 12:28:31,unknown-source,unknown-destination,3345,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0388,14/02/2018 04:09:10,unknown-source,unknown-destination,23,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0389,14/02/2018 12:09:05,unknown-source,unknown-destination,50558,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0390,14/02/2018 11:47:32,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0391,14/02/2018 02:41:15,unknown-source,unknown-destination,41092,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0392,14/02/2018 10:27:44,unknown-source,unknown-destination,50838,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0393,14/02/2018 02:31:19,unknown-source,unknown-destination,3389,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0394,14/02/2018 11:50:47,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0395,14/02/2018 01:18:26,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0396,14/02/2018 09:51:31,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0397,14/02/2018 09:46:58,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0398,14/02/2018 09:15:39,unknown-source,unknown-destination,445,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0399,14/02/2018 12:29:55,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0400,14/02/2018 11:32:01,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0401,14/02/2018 11:48:13,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0402,14/02/2018 11:21:26,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0403,14/02/2018 01:04:47,unknown-source,unknown-destination,53,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0404,14/02/2018 02:28:40,unknown-source,unknown-destination,43150,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0405,14/02/2018 11:28:23,unknown-source,unknown-destination,443,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0406,14/02/2018 08:30:59,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0407,14/02/2018 01:33:31,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0408,14/02/2018 01:51:40,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0409,14/02/2018 12:35:37,unknown-source,unknown-destination,445,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0410,14/02/2018 09:00:04,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0411,14/02/2018 10:39:10,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0412,14/02/2018 01:04:53,unknown-source,unknown-destination,443,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0413,14/02/2018 08:57:14,unknown-source,unknown-destination,53,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0414,14/02/2018 03:19:44,unknown-source,unknown-destination,36242,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0415,14/02/2018 01:21:16,unknown-source,unknown-destination,51274,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0416,14/02/2018 11:29:29,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0417,14/02/2018 12:08:17,unknown-source,unknown-destination,3389,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0418,14/02/2018 10:52:31,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0419,14/02/2018 10:46:36,unknown-source,unknown-destination,50940,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0420,14/02/2018 10:06:27,unknown-source,unknown-destination,3389,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0421,14/02/2018 09:19:43,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0422,14/02/2018 03:52:18,unknown-source,unknown-destination,123,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0423,14/02/2018 08:51:21,unknown-source,unknown-destination,49683,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0424,14/02/2018 11:35:32,unknown-source,unknown-destination,443,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0425,14/02/2018 08:57:52,unknown-source,unknown-destination,443,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0426,14/02/2018 08:42:31,unknown-source,unknown-destination,3389,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0427,14/02/2018 01:31:57,unknown-source,unknown-destination,51415,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0428,14/02/2018 01:18:26,unknown-source,unknown-destination,443,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0429,14/02/2018 12:10:45,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0430,14/02/2018 11:48:15,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0431,14/02/2018 11:33:51,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0432,14/02/2018 11:01:12,unknown-source,unknown-destination,443,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0433,14/02/2018 12:10:46,unknown-source,unknown-destination,53,UDP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0434,14/02/2018 12:48:51,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0435,14/02/2018 11:34:45,unknown-source,unknown-destination,53,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0436,14/02/2018 11:59:44,unknown-source,unknown-destination,53,UDP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0437,14/02/2018 09:06:37,unknown-source,unknown-destination,53,UDP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0438,14/02/2018 09:13:46,unknown-source,unknown-destination,3389,TCP,1280000,4,2,370,2,83,68,0,1,0,0
